0	30069
1	30581
2	31351
3	-643
4	-1027
5	-257
6	32126
7	29559
8	29551
9	31093
10	30077
11	31073
12	-8493
13	26461
14	-7713
15	25186
16	-4627
17	24931
18	-4099
19	28017
20	-4615
21	29055
22	-1671
23	28281
24	-1420
25	30207
26	-1927
27	31229
28	-645
29	30591
30	32631
31	30589
32	-649
33	-1029
34	-1029
35	31099
36	32124
37	30583
38	31867
39	30583
40	32633
41	31997
42	32116
43	32253
44	31863
45	30076
46	31089
47	-385
48	-1409
49	-1
50	32639
51	32638
52	32125
53	30327
54	30837
55	31609
56	31353
57	-643
58	32637
59	23913
60	-9994
61	28145
62	-6677
63	27246
64	31101
65	29035
66	30590
67	32631
68	30069
69	30844
70	30063
71	32763
72	-1419
73	-1551
74	-3717
75	29939
76	32113
77	28021
78	32112
79	31093
80	-3079
81	32503
82	-4613
83	32759
84	31867
85	25965
86	30315
87	28269
88	-2177
89	-3843
90	-785
91	-2177
92	29823
93	30840
94	30063
95	32121
96	-647
97	32759
98	-1415
99	32504
100	-645
101	31613
102	28276
103	29553
104	31089
105	-132
106	-3079
107	31485
108	-770
109	31607
110	31229
111	30828
112	28541
113	-399
114	-644
115	-1039
116	32375
117	25452
118	-6669
119	-1153
120	-4892
121	31607
122	27247
123	28526
124	29545
125	31735
126	-4752
127	30699
128	-5381
129	28924
130	-1669
131	26737
132	31861
133	28523
134	28531
135	-1927
136	-1025
137	-1291
138	-898
139	32637
140	31359
141	-260
142	30573
143	-2059
144	-3330
145	32763
146	30463
147	32375
148	30065
149	-1287
150	30069
151	-2695
152	30197
153	32628
154	26995
155	-655
156	28272
157	29037
158	30071
159	31861
160	-3075
161	-5907
162	-4888
163	32255
164	27517
165	27746
166	30581
167	-3201
168	-4625
169	-1037
170	29821
171	28269
172	28011
173	29817
174	-2187
175	32763
176	-645
177	30969
178	-1161
179	-387
180	28796
181	32637
182	28267
183	-5385
184	-4113
185	-5143
186	-1288
187	32253
188	28013
189	28530
190	27501
191	29799
192	28533
193	-1665
194	32125
195	-264
196	31089
197	29563
198	-1924
199	32125
200	-1803
201	32633
202	28535
203	32255
204	-2703
205	30703
206	-5009
207	30187
208	-3719
209	32753
210	30074
211	31095
212	26471
213	27761
214	-659
215	-4365
216	-4115
217	-2577
218	29807
219	30974
220	31601
221	30335
222	29550
223	-1157
224	28277
225	-2177
226	25451
227	-3469
228	31101
229	-5141
230	-2177
231	-1293
232	-1029
233	30319
234	30963
235	31593
236	26493
237	-4241
238	31103
239	-4873
240	29693
241	32249
242	26987
243	30573
244	29553
245	31351
246	-1797
247	32767
248	-3333
249	-3852
250	32243
251	-2181
252	29052
253	32121
254	28533
255	31854
256	29045
257	28527
258	-906
259	32247
260	31857
261	-2311
262	32629
263	-2579
264	32637
265	28021
266	31085
267	29045
268	32637
269	-3457
270	-2319
271	-4103
272	-523
273	29432
274	28003
275	28543
276	31077
277	-3089
278	-4111
279	-3593
280	-1549
281	-1537
282	27255
283	29549
284	24423
285	27750
286	31083
287	29045
288	-2183
289	29179
290	-5127
291	-5905
292	-6171
293	-7707
294	-1815
295	-4117
296	30063
297	25972
298	25951
299	23651
300	25437
301	24927
302	27497
303	31344
304	28539
305	-1679
306	32120
307	-5651
308	-6165
309	-7454
310	-8223
311	-5147
312	-5395
313	-4627
314	-5397
315	-6167
316	-527
317	-2053
318	26739
319	28523
320	28527
321	30063
322	32633
323	-2309
324	-1031
325	32383
326	31097
327	30071
328	30581
329	30839
330	32635
331	-1409
332	-3081
333	-1545
334	31615
335	29558
336	29039
337	29297
338	30323
339	-1155
340	-773
341	-1026
342	-1027
343	31999
344	30327
345	30579
346	-647
347	32766
348	32639
349	32125
350	31610
351	30071
352	29553
353	30837
354	31097
355	-1667
356	-4107
357	-3601
358	31227
359	29042
360	30579
361	30327
362	30580
363	31607
364	-1411
365	-1029
366	-1541
367	32509
368	30587
369	28529
370	30065
371	30323
372	-1155
373	-4365
374	-4114
375	31737
376	28273
377	28269
378	29039
379	32629
380	-4104
381	-3087
382	32761
383	29045
384	29039
385	29297
386	30579
387	32635
388	-2307
389	-3084
390	-1547
391	31357
392	30069
393	30067
394	31095
395	32378
396	32637
397	31099
398	31351
399	-643
400	-771
401	32126
402	32127
403	32381
404	32381
405	32125
406	30841
407	30839
408	31095
409	31609
410	31865
411	32637
412	32125
413	32380
414	32637
415	32125
416	30327
417	31609
418	32121
419	32381
420	32637
421	-513
422	32382
423	31097
424	31095
425	31610
426	-131
427	-385
428	-1027
429	31743
430	29815
431	29295
432	31093
433	-643
434	-1284
435	-1027
436	-515
437	32254
438	30583
439	29813
440	30065
441	31607
442	-643
443	-1283
444	-1541
445	31999
446	28788
447	28527
448	30319
449	-902
450	-2567
451	-3083
452	-1802
453	32255
454	29047
455	28783
456	28527
457	31347
458	-1921
459	-4109
460	-2831
461	31486
462	29557
463	28271
464	29550
465	31605
466	-385
467	-2052
468	-2057
469	-1799
470	31359
471	29557
472	29297
473	31090
474	-1665
475	-1031
476	32639
477	32123
478	30327
479	30324
480	30071
481	31093
482	-645
483	-2567
484	-2057
485	-1287
486	31743
487	28531
488	28269
489	30063
490	32633
491	-2311
492	-2057
493	-1543
494	32254
495	29559
496	29809
497	30580
498	31607
499	-1409
500	-2826
501	-519
502	30845
503	29554
504	30581
505	30839
506	32119
507	-1027
508	-1799
509	-517
510	31611
511	30583
